Type of Data,REF_COL,Origin,Variable,Rule Id,Weight,IsCritical,Dimension,DepTable,DepVar,Condition,Criterion,Flag,Source,Data_Domain
acs_casualty,Claim Status,acs_casualty,claim_status,443,0,1,Validity,null,null,['in'],"[['open','reopened','closed','unknown']]",null,ACS,Claim
acs_casualty,Claim Movement Date,acs_casualty,claim_movement_date,444,0,3,Validity,null,null,['Format'],['YYYY MM DD T'],null,ACS,Claim
acs_casualty,Claim Loss Date,acs_casualty,claim_loss_date,445,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_casualty,Claim Notification Date,acs_casualty,claim_notification_date,446,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_casualty,Claim Reopened Date,acs_casualty,claim_reopened_date,447,0,3,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_casualty,Claim Settled Date,acs_casualty,claim_settled_date,448,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_commercial_property,Claim Status,acs_commercial_property,claim_status,449,0,1,Validity,null,null,['in'],"[['open','reopened','closed','unknown']]",null,ACS,Claim
acs_commercial_property,Claim Movement Date,acs_commercial_property,claim_movement_date,450,0,3,Validity,null,null,['Format'],['YYYY MM DD T'],null,ACS,Claim
acs_commercial_property,Claim Loss Date,acs_commercial_property,claim_loss_date,451,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_commercial_property,Claim Notification Date,acs_commercial_property,claim_notification_date,452,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_commercial_property,Claim Reopened Date,acs_commercial_property,claim_reopened_date,453,0,3,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_commercial_property,Claim Settled Date,acs_commercial_property,claim_settled_date,454,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor_trade,Claim Status,acs_motor_trade,claim_status,455,0,1,Validity,null,null,['in'],"[['open','reopened','closed','unknown']]",null,ACS,Claim
acs_motor_trade,Claim Movement Date,acs_motor_trade,claim_movement_date,456,0,3,Validity,null,null,['Format'],['YYYY MM DD T'],null,ACS,Claim
acs_motor_trade,Claim Loss Date,acs_motor_trade,claim_loss_date,457,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor_trade,Claim Notification Date,acs_motor_trade,claim_notification_date,458,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor_trade,Claim Reopened Date,acs_motor_trade,claim_reopened_date,459,0,3,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor_trade,Claim Settled Date,acs_motor_trade,claim_settled_date,460,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_farm,Claim Status,acs_farm,claim_status,461,0,1,Validity,null,null,['in'],"[['open','reopened','closed','unknown']]",null,ACS,Claim
acs_farm,Claim Movement Date,acs_farm,claim_movement_date,462,0,3,Validity,null,null,['Format'],['YYYY MM DD T'],null,ACS,Claim
acs_farm,Claim Loss Date,acs_farm,claim_loss_date,463,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_farm,Claim Notification Date,acs_farm,claim_notification_date,464,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_farm,Claim Reopened Date,acs_farm,claim_reopened_date,465,0,3,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_farm,Claim Settled Date,acs_farm,claim_settled_date,466,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor,Claim Status,acs_motor,claim_status,467,0,1,Validity,null,null,['in'],"[['open','reopened','closed','unknown']]",null,ACS,Claim
acs_motor,Claim Movement Date,acs_motor,claim_movement_date,468,0,3,Validity,null,null,['Format'],['YYYY MM DD T'],null,ACS,Claim
acs_motor,Claim Loss Date,acs_motor,claim_loss_date,469,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor,Claim Notification Date,acs_motor,claim_notification_date,470,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor,Claim Reopened Date,acs_motor,claim_reopened_date,471,0,3,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_motor,Claim Settled Date,acs_motor,claim_settled_date,472,0,1,Validity,null,null,['Format'],['YYYY MM DD'],null,ACS,Claim
acs_casualty,Claim ID,acs_casualty,claim_id,479,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Number,acs_casualty,claim_number,480,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Status,acs_casualty,claim_status,481,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Movement Date,acs_casualty,claim_movement_date,482,0,3,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Loss Date,acs_casualty,claim_loss_date,483,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Notification Date,acs_casualty,claim_notification_date,484,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Claim Reopened Date,acs_casualty,claim_reopened_date,485,0,3,Completeness,null,['claim_status'],['=='],['reopened'],null,ACS,Claim
acs_casualty,Claim Settled Date,acs_casualty,claim_settled_date,486,0,1,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Claim Estimate Amount,acs_casualty,claim_estimate_amount,487,0,1,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Claim Estimate Recovery,acs_casualty,claim_estimate_recovery,488,0,1,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Claim Recovered Amount,acs_casualty,claim_recovered_amount,489,0,1,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Claim Settlement Amount,acs_casualty,claim_settlement_amount,490,0,1,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Claim Incurred Amount,acs_casualty,claim_incurred_amount,491,0,3,Completeness,null,['claim_status'],['=='],['closed'],null,ACS,Claim
acs_casualty,Exposure ID,acs_casualty,exposure_id,492,0,1,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Source System Description,acs_casualty,source_system_description,493,0,3,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Insurance Type Description,acs_casualty,insurance_type_description,494,0,3,Completeness,null,null,null,null,null,ACS,Claim
acs_casualty,Special Investigation Unit Status ID,acs_casualty,siu_status_id,495,0,3,Completeness,null,null,null,null,null,ACS,Claim
